Commit,Target Amount,Amount,Expiration Date,Name,Client Batch Quarter
,2275.39,2275.39,08/01/2013,Opp-Hilti AG Thüringen-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2608.57,2608.57,08/01/2013,Opp-HOROVITZ ET TOTAH SA-Q3 2013-1,Q3 2013
,2189.94,2189.94,08/01/2013,Opp-HALLTEX-Q3 2013-1,Q3 2013
,3774.28,3774.28,08/01/2013,Opp-CLARIANT (SCHWEIZ) AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,857.41,857.41,08/01/2013,Opp-COMARCH SWISS AG-Q3 2013-1,Q3 2013
,2091.62,2091.62,08/01/2013,Opp-Connex Verkehr-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,4521.66,4521.66,08/01/2013,Opp-GRANGE & CIE SA-Q3 2013-1,Q3 2013
,1333.19,1333.19,08/01/2013,Opp-DBS Schachner-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2262.25,2262.25,08/01/2013,Opp-G/REN ZIL-GARAGE ST.GALLEN AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1977.32,1977.32,08/01/2013,Opp-G/GARAGE FOITEK AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,313,313,08/01/2013,Opp-G/AUTOCENTRO CARLO STEGER SA-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,51.52,51.52,08/01/2013,Opp-FRAMA AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1216.6,1216.6,08/01/2013,Opp-FIRST ADVISORY GROUP-Q3 2013-1,Q3 2013
,548.75,548.75,08/01/2013,Opp-Demner & Merlicek-Q3 2013-1,Q3 2013
,2739,2739,08/01/2013,Opp-Erne & Co Rohrbogenw-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,9157.97,9157.97,08/02/2013,Opp-QUADRANTI B. E FIGLIO-Q3 2013-1,Q3 2013
,898.16,898.16,08/05/2013,Opp-GRAEUB AUTO CENTER AG-2013 Q3-1,Q3 2013
,574.63,574.63,08/06/2013,Opp-IMTECH ICT AUSTRIA GMB-Q3 2013-3,Q3 2013
Stretch,196953.52,196953.52,08/07/2013,Opp-ZH/DIREKTION DER JUSTIZ D.KT.Z-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2474.25,2474.25,08/08/2013,Opp-PROZ FRERES SA-Q3 2013-1,Q3 2013
,10.95,10.95,08/14/2013,Opp-Pfeiffer Handelsgm TRU-Q3 2013-2,Q3 2013
,5790.37,5790.37,08/15/2013,Opp-MULTIVAC EXPORT AG-Q3 2013-1,Q3 2013
,272.11,272.11,08/18/2013,Opp-Systema-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,7313.03,7313.03,08/21/2013,Opp-INOTEX BERN AG-Q3 2013-1,Q3 2013
,,,08/31/2013,Opp-A1 TELEKOM AUSTRIA  AG-Q3 2013-2,Q3 2013
,,,08/31/2013,Opp-Vers.f.Eisenbahnen-Q3 2013-2,Q3 2013
,,,08/31/2013,Opp-Vers.Anst.f.Eisenbah-Q3 2013-1,Q3 2013
,1001.22,1001.22,08/31/2013,Opp-ISV/ERGON INFORMATIK AG-2013 Q3-1,Q3 2013
,927.61,927.61,08/31/2013,Opp-STVAR/FLEXSYSTEMS AG-2013 Q3-1,Q3 2013
,,1214.72,08/31/2013,Opp-SWISSLOG AG-2013 Q3-1,Q3 2013
,1177.91,1177.91,08/31/2013,Opp-STVAR/UMB AG-2013 Q3-1,Q3 2013
,3054,3054,08/31/2013,Opp-STVAR/BECHTLE REGENSDORF AG-2013 Q3-1,Q3 2013
,,,08/31/2013,Opp-SAG MOTION GMBH-Q3 2013-2,Q3 2013
,,,08/31/2013,Opp-NORD-TRANSPORT AG-2013 Q3-1,Q3 2013
,802.45,802.45,08/31/2013,Opp-BERNHARD BAUMSCHULEN AG-2013 Q3-1,Q3 2013
,1119.02,1119.02,08/31/2013,Opp-KWIZDA HOLDING GMBH-Q3 2013-2,Q3 2013
,,,08/31/2013,Opp-KOENIG FEINSTAHL AG-2013 Q3-1,Q3 2013
,522.7,522.7,08/31/2013,Opp-ITPEARLS AG-2013 Q3-1,Q3 2013
Stretch,5866.31,5866.31,08/31/2013,Opp-GASCOGNE LAMINATES SWITZERLAND-Q3 2013-1,Q3 2013
,1082.21,1082.21,08/31/2013,Opp-FRANZ AG-2013 Q3-1,Q3 2013
,1142.03,1142.03,09/01/2013,Opp-Ä rztek. Salzburg-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1675.49,1675.49,09/01/2013,Opp-ACUTRONIC SCHWEIZ AG-Q3 2013-1,Q3 2013
,99629.01,99629.01,09/01/2013,Opp-VAUDOISE ASSURANCES-Q3 2013-1,Q3 2013
,29.45,29.45,09/01/2013,Opp-V/SMP DEPT.FINANZEN UND EDV-2013 Q3-1,Q3 2013
,6990.66,6990.66,09/01/2013,Opp-AHV/SVA SG-Q3 2013-1,Q3 2013
,516.69,516.69,09/01/2013,Opp-ALPINE BAU GMBH-Q3 2013-1,Q3 2013
,3250,3250,09/01/2013,Opp-TA TRIUMPH-ADLER VISINFO AG-Q3 2013-1,Q3 2013
,500.24,500.24,09/01/2013,Opp-TI/CASSA PENSIONI CITTA LUGANO-Q3 2013-1,Q3 2013
,12965.59,12965.59,09/01/2013,Opp-Sparda Villach/Innsbr-Q3 2013-1,Q3 2013
,6606.19,6606.19,09/01/2013,Opp-Socit Gnrale-Q3 2013-1,Q3 2013
,2139.52,2139.52,09/01/2013,Opp-Theresienhof KH-Q3 2013-1,Q3 2013
,1490.71,1490.71,09/01/2013,Opp-SIKA INFORMATIONSSYSTEME AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,5631.29,5631.29,09/01/2013,Opp-SABO OLEIFICIO-Q3 2013-1,Q3 2013
,633.13,633.13,09/01/2013,Opp-RRG ZUERICH SA-2013 Q3-1,Q3 2013
,11512.8,11512.8,09/01/2013,Opp-Pfanner-Q3 2013-2,Q3 2013
,10489.29,10489.29,09/01/2013,Opp-Peneder Service-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,7598.23,7598.23,09/01/2013,Opp-B/BANCA ALETTI & C. (SUISSE)-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,4890.2,4890.2,09/01/2013,Opp-PAISTE AG-Q3 2013-1,Q3 2013
,137.2,137.2,09/01/2013,Opp-Montanwerke Brixlegg-Q3 2013-1,Q3 2013
,9077.92,9077.92,09/01/2013,Opp-Med. Zentrallabor-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,2231.96,2231.96,09/01/2013,Opp-MORAND FRERES VINS-Q3 2013-1,Q3 2013
,973.73,973.73,09/01/2013,Opp-KEBA AG-Q3 2013-1,Q3 2013
,3737.73,3737.73,09/01/2013,Opp-K E B A-Q3 2013-1,Q3 2013
,3746.46,3746.46,09/01/2013,Opp-ISV/ES CONCEPT SA-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2009.52,2009.52,09/01/2013,Opp-CARROSSERIE HESS AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,131.25,131.25,09/01/2013,Opp-HAKAMA AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,3147.92,3147.92,09/01/2013,Opp-GIEZENDANNER TRANSPORT AG-Q3 2013-1,Q3 2013
,974.51,974.51,09/01/2013,Opp-Frischeis J. & A.-Q3 2013-1,Q3 2013
,17955.08,17955.08,09/01/2013,Opp-FR. SAUTER AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,607.06,607.06,09/01/2013,Opp-FERRECCHI FIDUCIARIA SA-Q3 2013-1,Q3 2013
,1503.24,1503.24,09/01/2013,Opp-Digital Elektronik-Q3 2013-2,Q3 2013
,1181.08,1181.08,09/01/2013,Opp-FACONA Fashion     TRU-Q3 2013-1,Q3 2013
,1301.35,1301.35,09/01/2013,Opp-E.Bernhard GmbH & CoKG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2944.28,2944.28,09/01/2013,Opp-EAO AG-Q3 2013-1,Q3 2013
,,,09/07/2013,Opp-Fiegl & Spielberger-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,1112.11,1112.11,09/08/2013,Opp-TRECOR SA-Q3 2013-1,Q3 2013
,,,09/09/2013,Opp-Brvz GesmbH-Q3 2013-2,Q3 2013
,4014,4014,09/10/2013,Opp-ARZ Allgemeines Rechen-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,1246.5,1246.5,09/13/2013,Opp-FARDAFID SA-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2539.88,2539.88,09/15/2013,Opp-DIGITEC AG-Q3 2013-1,Q3 2013
,117.97,117.97,09/17/2013,Opp-I/AO FOUNDATION-2013 Q3-1,Q3 2013
,18.36,18.36,09/19/2013,Opp-Sport Eybl & Sport TRU-Q3 2013-3,Q3 2013
,22362.43,22362.43,09/21/2013,"Opp-B/LLOYDS TSB BANK PLC,LONDRES-Q3 2013-1",Q3 2013
,4024.39,4024.39,09/22/2013,Opp-TYCO FIRE-Q3 2013-1,Q3 2013
,54.11,54.11,09/25/2013,Opp-STVAR/PRISME SOLUTIONS INF.-2013 Q3-1,Q3 2013
,3054,3054,09/26/2013,Opp-GP/GATE INFORMATIC SA-2013 Q3-1,Q3 2013
,14.31,14.31,09/27/2013,Opp-Josef Brtzner GesmbH-Q3 2013-2,Q3 2013
,,,09/30/2013,Opp-WU-Q3 2013-1,Q3 2013
,,,09/30/2013,Opp-WALTER BÖSCH GMBH&CO K-Q3 2013-2,Q3 2013
,,,09/30/2013,Opp-Visa Austria-Q3 2013-2,Q3 2013
,,,09/30/2013,Opp-Viking GmbH-Q3 2013-2,Q3 2013
,633.13,633.13,09/30/2013,Opp-TAAGN/SIRIUS ITC AG-2013 Q3-1,Q3 2013
,1575.46,1575.46,09/30/2013,Opp-Adria Bank-Q3 2013-2,Q3 2013
,,,09/30/2013,Opp-Pfanner-Q3 2013-3,Q3 2013
,250.31,250.31,09/30/2013,Opp-BAHAG Baus-Q3 2013-3,Q3 2013
,,,09/30/2013,Opp-FRANKE INDUSTRIE AG-2013 Q3-1,Q3 2013
,56268.92,56268.92,10/01/2013,Opp-iT-AUSTRIA RS/6000-Q4 2013-1,Q4 2013
,68033.32,68033.32,10/01/2013,Opp-Wien IT-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2598.81,2598.81,10/01/2013,Opp-VOEGTLIN-MEYER AG-Q4 2013-1,Q4 2013
,4018.85,4018.85,10/01/2013,Opp-VNSP/THETAZ INFORMATIK AG-Q4 2013-1,Q4 2013
,1339.93,1339.93,10/01/2013,Opp-Trust Steiner-Q4 2013-1,Q4 2013
,1339.93,1339.93,10/01/2013,Opp-Sutterlüty Handel GmbH-Q4 2013-1,Q4 2013
,2466.05,2466.05,10/01/2013,Opp-TAAGN/ECONIS AG-Q4 2013-1,Q4 2013
,869.05,869.05,10/01/2013,Opp-iT-AUSTRIA AS/400-Q4 2013-1,Q4 2013
,188.34,188.34,10/01/2013,Opp-Geb Krankenk NÖ-Q4 2013-1,Q4 2013
,4176,4176,10/01/2013,Opp-SWISSCOM AG-Q4 2013-1,Q4 2013
,4241.5,4241.5,10/01/2013,Opp-doppler E. Doppler-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1690.42,1690.42,10/01/2013,Opp-SGG WASER AG-Q4 2013-1,Q4 2013
,17207.92,17207.92,10/01/2013,Opp-SCA Graphic Laakirchen-Q4 2013-1,Q4 2013
,3790.66,3790.66,10/01/2013,Opp-RUAG SPACE AG         ICN ONLY-Q4 2013-1,Q4 2013
,6.12,6.12,10/01/2013,Opp-Ambos EDV Beratung-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,151.45,151.45,10/01/2013,Opp-RIBASTOREN AG-Q4 2013-1,Q4 2013
,24059.27,24059.27,10/01/2013,Opp-REWE International-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,5982.88,5982.88,10/01/2013,Opp-PROMENA HOLDING AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1780.35,1780.35,10/01/2013,Opp-PFS PENSION FUND SERVICES AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,3429.36,3429.36,10/01/2013,Opp-OPTISWISS AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1771.43,1771.43,10/01/2013,Opp-NYCO FLEXIBLE PACKAGING GMBH-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,9898.56,9898.56,10/01/2013,Opp-MULLER FRANCK WATCHLAND SA-Q4 2013-1,Q4 2013
,4895.8,4895.8,10/01/2013,Opp-MCDONALD'S SUISSE MANAGEMENT-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,17419.03,17419.03,10/01/2013,Opp-LYRECO SWITZERLAND AG-Q4 2013-2,Q4 2013
AUTOREN / EVERGREEN,199.27,199.27,10/01/2013,Opp-LYRECO SWITZERLAND AG-Q4 2013-1,Q4 2013
,33163.17,33163.17,10/01/2013,Opp-LOUIS DREYFUS COMMODITIES-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,3678.89,3678.89,10/01/2013,Opp-BE/WIRTSCHAFTS- UND KADERSCHUL-Q4 2013-1,Q4 2013
,246,246,10/01/2013,Opp-Kargl Josef        TRU-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,10101.89,10101.89,10/01/2013,Opp-KRONOSPAN SCHWEIZ AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,798.04,798.04,10/01/2013,Opp-BOSE AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1782.49,1782.49,10/01/2013,Opp-JUKI AUTOMATION SYSTEMS AG-Q4 2013-1,Q4 2013
,8252.58,8252.58,10/01/2013,Opp-ISV/ECOMEDIA AG-Q4 2013-1,Q4 2013
,587.56,587.56,10/01/2013,Opp-Biergasthof Otto   TRU-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,4787.4,4787.4,10/01/2013,Opp-INTERNATIONAL SCHOOL ZH AND LU-Q4 2013-1,Q4 2013
,293.9,293.9,10/01/2013,Opp-Bose GesmbH-Q4 2013-1,Q4 2013
,338.85,338.85,10/01/2013,Opp-Henelit-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2372.61,2372.61,10/01/2013,Opp-HUCO AG LEUCHTENFABRIK-Q4 2013-1,Q4 2013
,4243.16,4243.16,10/01/2013,Opp-CITROEN (SUISSE) SA-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1935.99,1935.99,10/01/2013,Opp-CREATIVE FACTORY-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2523.09,2523.09,10/01/2013,Opp-GSMN VAUD SA-Q4 2013-1,Q4 2013
,31510.67,31510.67,10/01/2013,Opp-GKK STMK-Q4 2013-1,Q4 2013
,50131.4,50131.4,10/01/2013,Opp-GE/DIRECTION DES SYSTEMES-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1966.02,1966.02,10/01/2013,Opp-GASSMANN OTTO JACQUES AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2432.24,2432.24,10/01/2013,Opp-G/SEEGARAGE MUELLER AG-Q4 2013-1,Q4 2013
,1218.96,1218.96,10/01/2013,Opp-FTVAR/ECONIS AG-Q4 2013-1,Q4 2013
,826.49,826.49,10/01/2013,Opp-FRAMSOHN Frottier-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2390.44,2390.44,10/01/2013,Opp-FIDEWO AG-Q4 2013-1,Q4 2013
,8193.1,8193.1,10/01/2013,Opp-E+H SERVICES AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,424.94,424.94,10/02/2013,Opp-MUSIK-MEYER AG-Q4 2013-1,Q4 2013
,195.1,195.1,10/04/2013,Opp-EDV-Design Information-Q4 2013-2,Q4 2013
,4549.69,4549.69,10/05/2013,Opp-STVAR/SISA STUDIO INFORMATICA-2013 Q4-1,Q4 2013
AUTOREN / EVERGREEN,1601.68,1601.68,10/05/2013,Opp-SANDER ERNST AG-Q4 2013-1,Q4 2013
,1361.96,1361.96,10/06/2013,Opp-BRUNO ROELLIN AG-2013 Q4-1,Q4 2013
,15676.96,15676.96,10/08/2013,Opp-DUFRY MANAGEMENT LTD-Q4 2013-1,Q4 2013
,,,10/09/2013,Opp-Scheuch GmbH-Q4 2013-3,Q4 2013
,582.85,582.85,10/12/2013,Opp-Tyrolit Schleifmittel-Q4 2013-2,Q4 2013
AUTOREN / EVERGREEN,505.4,505.4,10/15/2013,Opp-OM PHARMA-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,11778.48,11778.48,10/15/2013,Opp-CENTONZE S.A-Q4 2013-1,Q4 2013
,898.16,898.16,10/17/2013,Opp-WIBERG AG-2013 Q4-1,Q4 2013
,2278,2278,10/18/2013,Opp-STVAR/ACOMMIT AG-2013 Q4-1,Q4 2013
,402,402,10/22/2013,Opp-MGP METRO GROUP ACCOUNT-2013 Q4-1,Q4 2013
,,,10/31/2013,Opp-Autohaus Pfaller-Q4 2013-1,Q4 2013
,706.75,706.75,10/31/2013,Opp-OSTERWALDER ZUERICH AG-2013 Q4-1,Q4 2013
,,,10/31/2013,Opp-Nutzfahrzeuge Haubner-Q4 2013-2,Q4 2013
,,,10/31/2013,Opp-Kärntner Milch Reg gen-Q4 2013-2,Q4 2013
AUTOREN / EVERGREEN,3165.64,3165.64,10/31/2013,Opp-BPIBM/KYBERNA AG-2013 Q4-1,Q4 2013
,184.05,184.05,10/31/2013,Opp-Daily Service GmbH-Q4 2013-2,Q4 2013
,826.62,826.62,11/01/2013,Opp-Zobl/Bauer Wirt.Treuh-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,10505.82,10505.82,11/01/2013,Opp-ZLM ZENTRUM F LABORMEDIZIN-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1715.5,1715.5,11/01/2013,Opp-VON ROLL ITEC AG-Q4 2013-1,Q4 2013
,240.66,240.66,11/01/2013,Opp-ADEG Stadlmann     TRU-Q4 2013-1,Q4 2013
,1021.02,1021.02,11/01/2013,Opp-TRU/H/PARK-HOTEL BAD ZURZACH-Q4 2013-1,Q4 2013
,1369.2,1369.2,11/01/2013,Opp-THALES RAIL SIGNALLING-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,5664.05,5664.05,11/01/2013,Opp-ANGST & PFISTER-Q4 2013-1,Q4 2013
,434.32,434.32,11/01/2013,Opp-Wohnbauverein Privatan-Q4 2013-1,Q4 2013
,2276.1,2276.1,11/01/2013,"Opp-STERN CREATIONS, BRANCH OF-Q4 2013-1",Q4 2013
,2051.62,2051.62,11/01/2013,Opp-SR OPERATIONS SA-Q4 2013-1,Q4 2013
,1115.76,1115.76,11/01/2013,Opp-SH/KSD VERWALTUNGSGEBAEUDE-Q4 2013-1,Q4 2013
,240.66,240.66,11/01/2013,Opp-Adeg Standlmann Wo TRU-Q4 2013-1,Q4 2013
,8743.31,8743.31,11/01/2013,Opp-Richter u Co Schuhfabr-Q4 2013-1,Q4 2013
,2155.13,2155.13,11/01/2013,Opp-PFISTER MOEBEL AG-Q4 2013-1,Q4 2013
,771.3,771.3,11/01/2013,Opp-ORF-Q4 2013-1,Q4 2013
,508.72,508.72,11/01/2013,Opp-ORF-ENTERPRISE GMBH &-Q4 2013-1,Q4 2013
,299.49,299.49,11/01/2013,Opp-ORF Vorarlberg-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF Steiermark-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF STUDIO INNSBRUCK-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF Obersterreich-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF Niedersterreich-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF Kärnten-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF Burgenland-Q4 2013-1,Q4 2013
,153.92,153.92,11/01/2013,Opp-ORF  SALZBURG-Q4 2013-1,Q4 2013
,8173.51,8173.51,11/01/2013,Opp-NEO TECHNOLOGIES SA-Q4 2013-1,Q4 2013
,8531.98,8531.98,11/01/2013,Opp-BA/VON ROLL ITEC AG-Q4 2013-1,Q4 2013
,2824.1,2824.1,11/01/2013,Opp-Landeshauptstadt-Q4 2013-1,Q4 2013
,13.19,13.19,11/01/2013,Opp-BAYER (SCHWEIZ) AG-Q4 2013-1,Q4 2013
,363.5,363.5,11/01/2013,Opp-BEDAG INFORMATIK AG-Q4 2013-1,Q4 2013
Stretch,1224.22,1224.22,11/01/2013,Opp-Koller + Koller GmbH-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,6220.09,6220.09,11/01/2013,Opp-KRUEGER & CO AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,1227.4,1227.4,11/01/2013,Opp-BULK TRADING SA-Q4 2013-1,Q4 2013
,294.19,294.19,11/01/2013,Opp-Inführ Ingrid Getränke-Q4 2013-1,Q4 2013
,315.6,315.6,11/01/2013,Opp-INTERNATIONAL PAPER-Q4 2013-1,Q4 2013
,789.27,789.27,11/01/2013,Opp-ING. KOTZIAN-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,555.26,555.26,11/01/2013,Opp-CAISSE DE COMPENSATION TRAVAUX-Q4 2013-1,Q4 2013
,1302.76,1302.76,11/01/2013,Opp-HAFINA-Q4 2013-1,Q4 2013
,735.91,735.91,11/01/2013,Opp-HAFINA - HANDELS- UND-Q4 2013-1,Q4 2013
,1346.44,1346.44,11/01/2013,Opp-GÖSSL GRETE OHG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2933.77,2933.77,11/01/2013,Opp-GERAMA S.A.-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,2381.73,2381.73,11/01/2013,Opp-GEP SA PLACEMENT COLLECTIFS-Q4 2013-1,Q4 2013
,20298.46,20298.46,11/01/2013,Opp-GE Jenbacher-Q4 2013-2,Q4 2013
AUTOREN / EVERGREEN,2983.97,2983.97,11/01/2013,Opp-DISTRIBA AG-Q4 2013-1,Q4 2013
,59.96,59.96,11/01/2013,Opp-G/CITROEN SUISSE SA FR-Q4 2013-1,Q4 2013
,9361.8,9361.8,11/01/2013,Opp-DUFRY TRAVEL RETAIL AG-Q4 2013-1,Q4 2013
,244.56,244.56,11/01/2013,Opp-FERRING INTERNATIONAL-Q4 2013-1,Q4 2013
Stretch,1363.04,1363.04,11/03/2013,Opp-ISV/REHM INFORMATIC AG-Q4 2013-1,Q4 2013
Stretch,1181.21,1181.21,11/05/2013,Opp-ATM AIR TERRE MER-Q4 2013-1,Q4 2013
Stretch,690,690,11/06/2013,Opp-UNISTO AG-Q4 2013-1,Q4 2013
Stretch,1181.21,1181.21,11/08/2013,Opp-ALPI SUISSE SA-Q4 2013-1,Q4 2013
Stretch,1139,1139,11/08/2013,Opp-ESCO SA FABRIQUE DE MACHINES-Q4 2013-1,Q4 2013
Stretch,690,690,11/13/2013,Opp-WOLFFGRAMM HEINZ AG-Q4 2013-1,Q4 2013
Stretch,3944.29,3944.29,11/13/2013,Opp-LU/HOCHSCHULE LUZERN-Q4 2013-1,Q4 2013
Stretch,27134,27134,11/16/2013,Opp-VON ROLL SCHWEIZ AG-Q4 2013-1,Q4 2013
Stretch,914.04,914.04,11/16/2013,Opp-TECHNO SUPPORT AND SERVICE SA-Q4 2013-1,Q4 2013
Stretch,815.22,815.22,11/16/2013,Opp-AVESTRA CHEMICAL (SUISEE) SA-Q4 2013-1,Q4 2013
Stretch,500.61,500.61,11/17/2013,Opp-FIFA FED.INT. DE FOOTBALL ASS.-Q4 2013-1,Q4 2013
Stretch,163.41,163.41,11/20/2013,Opp-GALEXIS AG-Q4 2013-1,Q4 2013
Stretch,259.75,259.75,11/22/2013,Opp-STVAR/BECHTLE REGENSDORF AG-Q4 2013-1,Q4 2013
Stretch,14370,14370,11/22/2013,Opp-FEDERATION DES ENTREPRISES-Q4 2013-1,Q4 2013
Stretch,1734.97,1734.97,11/24/2013,Opp-B/BAER JULIUS & CO. AG-Q4 2013-1,Q4 2013
Stretch,505,505,11/25/2013,Opp-VNSP/STERCI SA-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,633.13,633.13,11/25/2013,Opp-B/TG/KANTONALBANK ABT. EDV-Q4 2013-1,Q4 2013
Stretch,1829,1829,11/26/2013,Opp-TAAGN/ECONIS AG-Q4 2013-3,Q4 2013
Stretch,690,690,11/29/2013,Opp-AUDATEX (SCHWEIZ) GMBH-Q4 2013-1,Q4 2013
Stretch,,,11/30/2013,Opp-LINDT & SPRUENGLI-Q4 2013-1,Q4 2013
At Risk,35440.98,35440.98,11/30/2013,Opp-ISYS SOFTWARE SA-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,,,12/01/2013,Opp-ADUNO SA-Q4 2013-1,Q4 2013
Stretch,1363.04,1363.04,12/01/2013,Opp-ASSISTENT + PARTNER AG-Q4 2013-1,Q4 2013
Stretch,42.21,42.21,12/02/2013,Opp-B/AP ANLAGE & PRIVATBANK AG-Q4 2013-1,Q4 2013
Stretch,1139,1139,12/02/2013,Opp-HESS METALLE AG-Q4 2013-1,Q4 2013
Stretch,959.19,959.19,12/05/2013,Opp-RICHEMONT INTERNATIONAL CLIENT-Q4 2013-1,Q4 2013
Stretch,4386,4386,12/05/2013,Opp-BIEN-AIR DENTAL SA-Q4 2013-1,Q4 2013
Stretch,1139,1139,12/07/2013,Opp-VAC RENE JUNOD SA-Q4 2013-1,Q4 2013
Stretch,690,690,12/07/2013,Opp-HUELSENFABRIK LENZHARD-Q4 2013-1,Q4 2013
Stretch,14870,14870,12/08/2013,Opp-CAISSE DE COMPENSATION TRAVAUX-Q4 2013-3,Q4 2013
Stretch,500,500,12/08/2013,Opp-DUFERCO SA-Q4 2013-1,Q4 2013
Stretch,345.27,345.27,12/09/2013,Opp-SAINT-GOBAIN ISOVER S.A.-Q4 2013-1,Q4 2013
Stretch,238.1,238.1,12/11/2013,Opp-K/CONCORDIA-Q4 2013-1,Q4 2013
Stretch,574.98,574.98,12/14/2013,Opp-B/FALCON PRIVATE BANK-Q4 2013-1,Q4 2013
Stretch,690,690,12/14/2013,Opp-HAUG KOMPRESSOREN AG-Q4 2013-1,Q4 2013
Stretch,3718,3718,12/15/2013,Opp-SUNGARD (SWITZERLAND) SA ZH-Q4 2013-1,Q4 2013
Stretch,42.21,42.21,12/17/2013,Opp-VARGUS WERKZEUGTECHNIK SNEL AG-Q4 2013-1,Q4 2013
Stretch,3937,3937,12/17/2013,Opp-STVAR/UMB AG-Q4 2013-1,Q4 2013
Stretch,1139,1139,12/17/2013,Opp-SCHERRER ZEMENTW. AG-Q4 2013-1,Q4 2013
Stretch,173.16,173.16,12/21/2013,Opp-B/INTESA SANPAOLO-Q4 2013-1,Q4 2013
Stretch,811.77,811.77,12/21/2013,Opp-LUXURY GOODS INTERN (EX GUCCI)-Q4 2013-1,Q4 2013
Stretch,2278,2278,12/23/2013,Opp-DC SWISS S.A.-Q4 2013-1,Q4 2013
Stretch,,,12/24/2013,Opp-SUVA-Q4 2013-1,Q4 2013
Stretch,17701,17701,12/24/2013,Opp-SUVA ROESSLIMATT-Q4 2013-1,Q4 2013
Stretch,1139,1139,12/24/2013,Opp-BOXAL (SUISSE) SA-Q4 2013-1,Q4 2013
Stretch,690,690,12/25/2013,Opp-EMBRU-WERKE AG-Q4 2013-1,Q4 2013
Stretch,2052,2052,12/27/2013,Opp-NOVARTIS CONSUMER HEALTH SA-Q4 2013-1,Q4 2013
